"Campaign name","Ad set name","DMA region","Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (USD)","Cost per result",Starts,Ends,"Reporting starts","Reporting ends"
"LF ABO 3 ADS DIFFRENT AUDEINCE","LF 3 Ads Detailed 2",Greenvll-Spart-Ashevll-And,not_delivering,adset,6,6,1,"7-day click or 1-day view",,,0.88,,2026-05-11,Ongoing,2026-04-16,2026-05-14
"LF Different Audience Testing","LF Audience 1",Greenvll-Spart-Ashevll-And,inactive,adset,9,14,1.55555556,"7-day click or 1-day view",,,0.79976887,,2026-04-17,Ongoing,2026-04-16,2026-05-14
"LF ABO","LF AD V2",Greenvll-Spart-Ashevll-And,inactive,adset,15,19,1.26666667,"7-day click or 1-day view",,,0.72572393,,2026-04-30,Ongoing,2026-04-16,2026-05-14
"Traffic Ad","Social Media Traffic",Greenvll-Spart-Ashevll-And,active,adset,42,56,1.33333333,"1-day click",,,0.72007103,,2026-04-17,Ongoing,2026-04-16,2026-05-14
"Traffic Ad","LP Traffic",Greenvll-Spart-Ashevll-And,active,adset,148,174,1.17567568,"7-day click or 1-day view",,,0.68,,2026-04-17,Ongoing,2026-04-16,2026-05-14
"LF Different Audience Testing","LF Audience 1 - V2",Greenvll-Spart-Ashevll-And,inactive,adset,5,5,1,"7-day click or 1-day view",,,0.55973998,,2026-04-25,Ongoing,2026-04-16,2026-05-14
"LF ABO 3 ADS DIFFRENT AUDEINCE","LF 3 Ads Detailed",Greenvll-Spart-Ashevll-And,not_delivering,adset,6,6,1,"7-day click or 1-day view",,,0.5,,2026-05-11,Ongoing,2026-04-16,2026-05-14
"LP Different Audience Testing","LP Audience 2",Greenvll-Spart-Ashevll-And,inactive,adset,10,10,1,"7-day click, 1-day view, or 1-day engaged-view",,,0.46,,2026-04-17,Ongoing,2026-04-16,2026-05-14
"LF ABO Detailed","LF Ad 3",Greenvll-Spart-Ashevll-And,not_delivering,adset,8,8,1,"7-day click or 1-day view",,,0.42,,2026-05-11,Ongoing,2026-04-16,2026-05-14
"LF ABO","LF Ad All 3",Greenvll-Spart-Ashevll-And,inactive,adset,1,1,1,"7-day click or 1-day view",,,0.41,,2026-04-22,Ongoing,2026-04-16,2026-05-14
"LP Different Audience Testing","LP Audience 1",Greenvll-Spart-Ashevll-And,inactive,adset,4,6,1.5,"7-day click, 1-day view, or 1-day engaged-view",,,0.32035794,,2026-04-17,Ongoing,2026-04-16,2026-05-14
"LF ABO","LF Ad 3",Greenvll-Spart-Ashevll-And,inactive,adset,4,4,1,"7-day click or 1-day view",,,0.26826378,,2026-04-22,Ongoing,2026-04-16,2026-05-14
"LF Different Audience Testing","LF Audience 2",Greenvll-Spart-Ashevll-And,inactive,adset,3,4,1.33333333,"7-day click or 1-day view",,,0.2143599,,2026-04-17,Ongoing,2026-04-16,2026-05-14
"LF ABO Detailed","LF Ad 2",Greenvll-Spart-Ashevll-And,not_delivering,adset,6,8,1.33333333,"7-day click or 1-day view",,,0.19987647,,2026-05-11,Ongoing,2026-04-16,2026-05-14
"LF ABO","LF Ad 2",Greenvll-Spart-Ashevll-And,inactive,adset,4,4,1,"7-day click or 1-day view",,,0.19,,2026-04-22,Ongoing,2026-04-16,2026-05-14
"LF ABO Detailed","LF Ad 4",Greenvll-Spart-Ashevll-And,not_delivering,adset,8,9,1.125,"7-day click or 1-day view",,,0.19,,2026-05-11,Ongoing,2026-04-16,2026-05-14
"LP Different Audience Testing","LP Broad",Greenvll-Spart-Ashevll-And,inactive,adset,8,9,1.125,"7-day click, 1-day view, or 1-day engaged-view",,,0.16,,2026-04-17,Ongoing,2026-04-16,2026-05-14
"LF ABO","LF Ad All 3 V2",Greenvll-Spart-Ashevll-And,inactive,adset,1,1,1,"7-day click or 1-day view",,,0.05989807,,2026-04-22,Ongoing,2026-04-16,2026-05-14
"LF CBO 3 Ads Detailed","LF Ad 3",Greenvll-Spart-Ashevll-And,inactive,adset,2,2,1,"7-day click or 1-day view",,,0.00999624,,2026-04-17,Ongoing,2026-04-16,2026-05-14
"LF CBO 3 Ads Detailed","LF Ad 2",Greenvll-Spart-Ashevll-And,inactive,adset,2,2,1,"7-day click or 1-day view",,,0.00987783,,2026-04-17,Ongoing,2026-04-16,2026-05-14
